Contenido,IR,Fecha,Dispositivo,Likes,Retweets,Entidad,Hora,Foto
"RT @Ops_Paraguay: ✋🏽Detengamos el contagio, salvemos vidas 💕
✅Reforcemos todas las medidas sanitarias de forma estricta
Recordá ⤵
✅Lavate l…",https://twitter.com/i/web/status/1374008485843759104,22/03/2021 08:42:05,Twitter for iPhone,0,6,OPS/OMS,08:42:05,http://pbs.twimg.com/profile_images/1096094749902028801/ijbQWupW.png
"RT @ONU_es: No importa quién eres ni dónde vives, el acceso al agua es un derecho humano. Sin embargo, 1 de cada 3 personas todavía no tien…",https://twitter.com/i/web/status/1374008745068486657,22/03/2021 08:43:07,Twitter for iPhone,0,219,OPS/OMS,08:43:07,http://pbs.twimg.com/profile_images/1096094749902028801/ijbQWupW.png
"RT @ONU_es: La igualdad de género es fundamental para la paz y la prosperidad.

Hagamos nuestra parte para crear un futuro más igualitario,…",https://twitter.com/i/web/status/1374009049604354054,22/03/2021 08:44:19,Twitter for iPhone,0,77,OPS/OMS,08:44:19,http://pbs.twimg.com/profile_images/1096094749902028801/ijbQWupW.png
"RT @ONU_es: Las teorías de conspiración y la desinformación buscan desacreditar a las vacunas contra la #COVID19. 

Ahora más que nunca es…",https://twitter.com/i/web/status/1374009130109767681,22/03/2021 08:44:39,Twitter for iPhone,0,64,OPS/OMS,08:44:39,http://pbs.twimg.com/profile_images/1096094749902028801/ijbQWupW.png
RT @OPSGuate: Mantener nuestras comunidades 👶🧓🧔👩saludables depende de la colaboración y acciones de cada individuo para contener la propaga…,https://twitter.com/i/web/status/1374024517463461898,22/03/2021 09:45:47,Twitter for iPhone,0,8,OPS/OMS,09:45:47,http://pbs.twimg.com/profile_images/1096094749902028801/ijbQWupW.png
"RT @OPSOMSBolivia: El Fondo Rotatorio de la OPS, encargado de la adquisición de vacunas COVID-19 para los países de las Américas ante el Me…",https://twitter.com/i/web/status/1374024542704832513,22/03/2021 09:45:53,Twitter for iPhone,0,8,OPS/OMS,09:45:53,http://pbs.twimg.com/profile_images/1096094749902028801/ijbQWupW.png
"En los últimos días 5️⃣ países recibieron vacunas #COVID19 a través de nuestro Fondo Rotatorio, mecanismo designado… https://t.co/ur5DYyhteT",https://twitter.com/i/web/status/1374044787343388676,22/03/2021 11:06:20,Twitter Web App,20,16,OPS/OMS,11:06:20,http://pbs.twimg.com/profile_images/1096094749902028801/ijbQWupW.png
"RT @JuanOrlandoH: Ver el sistema de Becas 🅷🅾︎🅽🅳🆄🆁🅰︎🆂 2020 me hace sentir orgulloso, este programa es prioridad nacional y debemos seguirlo…",https://twitter.com/i/web/status/1374074912441307151,22/03/2021 13:06:02,Twitter Web App,0,101,Secretaría de Salud,13:06:02,http://pbs.twimg.com/profile_images/1347259182777557002/Yge3kdJi.jpg
RT @JuanOrlandoH: Any narrative regarding the battle against drug trafficking in Honduras that omits the unprecedented 95% reduction (offic…,https://twitter.com/i/web/status/1374074950164828162,22/03/2021 13:06:11,Twitter Web App,0,70,Secretaría de Salud,13:06:11,http://pbs.twimg.com/profile_images/1347259182777557002/Yge3kdJi.jpg
RT @JuanOrlandoH: Cualquier narrativa sobre la batalla contra el narcotráfico en Honduras que omita la reducción sin precedentes del 95% (d…,https://twitter.com/i/web/status/1374074975083171845,22/03/2021 13:06:17,Twitter Web App,0,78,Secretaría de Salud,13:06:17,http://pbs.twimg.com/profile_images/1347259182777557002/Yge3kdJi.jpg
